9282,19739,21223,-2148
9387,-1534,20671,15213
9491,-19547,346,19548
9594,-16161,-7067,23715
9699,5607,2285,25629
9803,18391,8123,13124
9907,3150,9041,25303
10011,-13547,10471,16978
10116,-18380,-4015,14050
10220,-14601,-1707,3145
10324,-12446,-531,-15874
10428,3928,-8960,-32768
10532,-9855,3756,-11070
10637,-23175,2374,-610
10742,-16584,-14779,22867
10847,10554,-7157,11706
10951,2714,-3803,-12078
11056,-22981,-8239,-6579
11160,-17320,-538,2891
11264,-6940,7293,-4790
11368,7659,4169,-30993
11472,8983,11731,-18766
11577,-761,1339,10347
11680,-7555,67,13587
11785,10601,5936,-22104
11889,15508,11565,-26068
11994,9873,23428,-18216
12097,15298,26988,2086
12201,18445,32689,20260
12306,4118,27185,32704
12410,-15314,26904,28183
12515,-24661,10512,12695
12618,-26051,514,5140
12723,-30020,16209,-16605
12827,-10844,10508,-20324
12934,-12092,8415,-19983
13037,2250,-2885,-8618
13142,2410,-5207,2093
13246,3010,4226,5572
13350,2459,7830,-1551
13454,1671,7834,-13858
13558,1904,-4017,3212
13663,9074,-3040,8065
13766,7533,127,754
13871,4406,2356,-21124
13975,-8283,1128,-10733
14080,-17278,384,-11425
14183,-18480,1625,7212
14287,-13160,4966,16235
14392,-2703,-6858,13858
14496,2971,-9097,17116
14600,10893,-7160,26124
14704,25256,-3705,24458
14809,28166,-8607,11650
14913,17246,-3551,3902
15017,5904,-5712,-7816
15123,1234,-7126,-16684
15227,-5240,-6288,-16160
15332,-7286,-11264,-15149
15435,-10342,-9333,-13383
15540,-10704,-8937,-10705
15644,-11160,5295,-10262
15749,-10493,-7000,-22548
15853,1199,-8399,-30095
15956,1199,-1605,-31099
16061,8026,9343,-18301
16165,-19582,3243,6449
16270,-15008,-12036,8603
16373,-5244,-2307,8712
16478,-2672,-3638,-10391
16582,-9512,-219,-17404
16687,-13223,2010,-7561
16790,-11037,4687,4535
16894,-6394,1177,-5199
16999,8272,8133,-23437
17103,19580,14747,-19775
17209,21540,21127,-16429
17313,4064,13970,-6542
17418,3149,13377,9458
17522,-4623,10850,21237
17626,-9086,319,-2476
17730,-6155,-11346,3529
17835,-4432,-724,28843
17939,5001,6873,23846
18042,8004,4349,-9318
18147,4082,2519,2271
18251,-1428,8878,22843
